case_id,E,thickness,top_uz_mae_pct,top_uz_relative_l2_pct,top_uz_mean_abs_error,top_uz_max_pct,volume_mae_pct,volume_relative_l2_pct,volume_mean_abs_error,volume_max_pct,avg_uz_fem,avg_uz_pinn,avg_displacement_relative_error_pct,peak_fem_uz,peak_pinn_uz,fem_seconds,pinn_eval_seconds,n_eval_points
one_layer_random_000,6.1210399,0.13532762,2.849230,13.074714,0.005914844666,11.488778,1.669252,13.646492,0.00347750073,11.448385,-0.04490944505,-0.05040494982,12.257475,-0.2075944727,-0.2161901342,1.334999,0.002452,2601
one_layer_random_001,3.5461155,0.13316955,2.313878,10.785309,0.008611981351,10.444547,1.490700,11.912984,0.005569087063,10.405394,-0.08061035327,-0.08823228767,9.485973,-0.3721882483,-0.380688215,1.085985,0.001977,2601
one_layer_random_002,1.043752,0.054062078,5.193255,21.886593,0.6155478454,17.346414,2.127202,21.884099,0.253442234,17.256855,-2.579550858,-3.192191592,23.851201,-11.85283201,-13.54449472,1.038664,0.001935,2601
one_layer_random_003,5.7576975,0.11274856,2.148644,10.194358,0.007371054538,10.300459,1.317532,11.031579,0.004551058786,10.229878,-0.07487870921,-0.08094054472,8.153716,-0.3430560867,-0.3586646943,0.884695,0.001833,2601
one_layer_random_004,4.7130957,0.1430991,2.799396,12.684594,0.006626867891,10.792391,1.723314,13.586364,0.004089777738,10.765307,-0.05096736386,-0.05712188115,12.160943,-0.2367249258,-0.2421544981,1.014931,0.001772,2601
one_layer_random_005,6.4854875,0.088155563,1.821172,8.168234,0.01028244477,7.677318,1.160334,9.352885,0.006605911239,7.613868,-0.1235331654,-0.1326694643,7.500335,-0.5646057834,-0.5845610413,1.301134,0.002893,2601
one_layer_random_006,7.3912276,0.078471471,2.354894,9.826820,0.01566330856,7.655886,1.335797,10.839710,0.008954984564,7.595971,-0.145427356,-0.1606281148,10.692380,-0.6651385136,-0.6922537116,1.099538,0.001842,2601
one_layer_random_007,7.953434,0.070065614,3.402827,13.612839,0.02798135803,10.270647,1.674627,14.240835,0.01386844188,10.198054,-0.179575058,-0.2073433775,15.718931,-0.8222974743,-0.87218559,1.239963,0.001959,2601
one_layer_random_008,2.7996073,0.085926628,1.154956,5.199717,0.01611827869,5.958487,0.952080,7.479964,0.01339701094,5.909552,-0.3053177347,-0.3174855777,4.344410,-1.395574801,-1.400557238,1.293124,0.002031,2601
one_layer_random_009,2.2817562,0.10373165,1.351847,6.255254,0.0143971378,7.543106,1.034055,8.295182,0.01109715514,7.485670,-0.2328453055,-0.2401128938,3.179455,-1.064997197,-1.073668582,1.443648,0.002189,2601
one_layer_random_010,4.6683454,0.11748134,2.109857,10.021593,0.008068447136,10.325658,1.322519,10.974124,0.005089645453,10.260513,-0.08336257127,-0.08995986419,7.943125,-0.3824167085,-0.397003818,1.288375,0.001883,2601
one_layer_random_011,9.9620351,0.065371737,4.625340,18.396452,0.03610485153,13.837657,2.036292,18.640316,0.01599978739,13.747077,-0.1703191532,-0.2062727392,21.250836,-0.7805880622,-0.8546513781,1.276895,0.001924,2601
one_layer_random_012,4.6176998,0.050273243,7.088670,31.707477,0.2256717151,25.893375,2.662817,31.456427,0.08516789529,25.773092,-0.692147808,-0.9166757678,32.460009,-3.183555242,-3.967202977,0.903009,0.001817,2601
one_layer_random_013,8.8369182,0.11793427,2.707549,12.752143,0.0054185761,11.610502,1.536230,13.176077,0.003093765248,11.537955,-0.04361972646,-0.04854420679,11.373270,-0.2001284866,-0.2131952887,1.132386,0.001839,2601
one_layer_random_014,4.3635614,0.11676964,2.042355,9.696901,0.008481174001,10.138872,1.296283,10.727196,0.005417681024,10.073971,-0.09054221453,-0.09732997701,7.524996,-0.4152643513,-0.4300263161,0.847250,0.001810,2601
one_layer_random_015,8.0580403,0.097304737,2.076369,9.670793,0.007352374335,9.082664,1.256940,10.502558,0.004487215618,9.008947,-0.0774653536,-0.08383880799,8.289860,-0.3540977151,-0.3721451461,1.207133,0.002192,2601
one_layer_random_016,9.070057,0.13853231,3.363820,15.217590,0.004461103641,12.394231,1.855559,15.474761,0.00246857907,12.355399,-0.02863677622,-0.03290055276,14.922077,-0.1326201566,-0.13997829,0.861921,0.002049,2601
one_layer_random_017,4.7153756,0.12621565,2.356147,11.086802,0.007495111323,10.858288,1.450023,11.929451,0.004635166189,10.805540,-0.06912483381,-0.07568794711,9.504124,-0.3181087934,-0.3299137824,1.081810,0.002074,2601
one_layer_random_018,2.8791528,0.10599682,1.523288,7.103680,0.01218149121,8.248556,1.091829,8.808221,0.008795875508,8.187885,-0.1747814072,-0.1821460369,4.262163,-0.7996839102,-0.8133563003,1.167785,0.001861,2601
one_layer_random_019,8.1715335,0.12920219,2.971666,13.754866,0.005157533534,12.037718,1.672085,14.108721,0.002914318988,11.986921,-0.03766374508,-0.04248526281,12.834558,-0.1735569921,-0.1837060038,1.372090,0.001831,2601
one_layer_random_020,7.9573795,0.059923142,5.650958,22.739000,0.06845652987,16.738630,2.322569,22.755410,0.02830350525,16.639535,-0.2640160978,-0.3322252281,25.930300,-1.211414551,-1.374001112,1.472811,0.002056,2601
one_layer_random_021,2.2084693,0.08441418,1.017497,4.576469,0.01882889219,5.433994,0.918074,7.205474,0.0171288253,5.704341,-0.4048115324,-0.4184735976,3.902953,-1.85051028,-1.842246779,0.847671,0.001841,2601
one_layer_random_022,9.7147012,0.11963695,2.869774,13.458656,0.005044552341,11.934275,1.601584,13.805143,0.002832313248,11.862592,-0.03829234349,-0.04295670888,12.271692,-0.1757822409,-0.1880734489,0.980609,0.001962,2601
one_layer_random_023,6.0514796,0.069617361,3.113103,12.418017,0.03419012927,9.300991,1.591037,13.209508,0.01759733681,9.235699,-0.2398231115,-0.2737182483,14.464564,-1.098265441,-1.153992454,0.994498,0.001874,2601
one_layer_random_024,4.5671403,0.055337771,6.252076,26.008315,0.1601258804,20.051019,2.471955,25.892893,0.06365026282,19.944082,-0.5575699662,-0.717092335,28.686921,-2.561163338,-3.006942751,1.768177,0.002052,2601
one_layer_random_025,6.7376654,0.13508933,2.938860,13.470171,0.005565602343,11.682980,1.695102,13.955628,0.003221589662,11.641593,-0.04097439465,-0.04617514657,12.712648,-0.1893796337,-0.1980137363,1.204336,0.001800,2601
